iter     dual_bound    low_bound            up_bound
iter1           43.       43.00              200.00
iter2           53.       53.00              200.00
iter3           -9.       53.00              200.00
iter4           73.       73.00              200.00
iter5         -165.       73.00              200.00
iter6           73.       73.00              200.00
iter7          -38.       73.00              200.00
iter8           73.       73.00              200.00
iter9           25.       73.00              200.00
iter10          73.       73.00              200.00
iter11          56.       73.00              200.00
iter12          73.       73.00              200.00
iter13          72.       73.00              200.00
iter14          73.       73.00              200.00
iter15          80.       80.50               80.50
iter16           0.        0.00                0.00
iter17           0.        0.00                0.00
iter18           0.        0.00                0.00
iter19           0.        0.00                0.00
iter20           0.        0.00                0.00
iter21           0.        0.00                0.00
iter22           0.        0.00                0.00
iter23           0.        0.00                0.00
iter24           0.        0.00                0.00
iter25           0.        0.00                0.00
iter26           0.        0.00                0.00
iter27           0.        0.00                0.00
iter28           0.        0.00                0.00
iter29           0.        0.00                0.00
iter30           0.        0.00                0.00
iter31           0.        0.00                0.00
iter32           0.        0.00                0.00
iter33           0.        0.00                0.00
iter34           0.        0.00                0.00
iter35           0.        0.00                0.00
iter36           0.        0.00                0.00
iter37           0.        0.00                0.00
iter38           0.        0.00                0.00
iter39           0.        0.00                0.00
iter40           0.        0.00                0.00
iter41           0.        0.00                0.00
iter42           0.        0.00                0.00
iter43           0.        0.00                0.00
iter44           0.        0.00                0.00
iter45           0.        0.00                0.00
iter46           0.        0.00                0.00
iter47           0.        0.00                0.00
iter48           0.        0.00                0.00
iter49           0.        0.00                0.00
iter50           0.        0.00                0.00
iter51           0.        0.00                0.00
iter52           0.        0.00                0.00
iter53           0.        0.00                0.00
iter54           0.        0.00                0.00
iter55           0.        0.00                0.00
iter56           0.        0.00                0.00
iter57           0.        0.00                0.00
iter58           0.        0.00                0.00
iter59           0.        0.00                0.00
iter60           0.        0.00                0.00
