number of nodes =,933
number of links =,2967
number of passengers=, 46
number of vehicles =,15
Least Travel Time for Pax,Pax 1,Pax 2,Pax 3,Pax 4,Pax 5,Pax 6,Pax 7,Pax 8,Pax 9,Pax 10,Pax 11,Pax 12,Pax 13,Pax 14,Pax 15,Pax 16,Pax 17,Pax 18,Pax 19,Pax 20,Pax 21,Pax 22,Pax 23,Pax 24,Pax 25,Pax 26,Pax 27,Pax 28,Pax 29,Pax 30,Pax 31,Pax 32,Pax 33,Pax 34,Pax 35,Pax 36,Pax 37,Pax 38,Pax 39,Pax 40,Pax 41,Pax 42,Pax 43,Pax 44,Pax 45,Pax 46,
,44.00,45.00,58.00,34.00,46.00,29.00,17.00,44.00,46.00,29.00,17.00,46.00,43.00,29.00,57.00,44.00,45.00,58.00,34.00,46.00,29.00,17.00,44.00,45.00,46.00,29.00,46.00,43.00,29.00,57.00,44.00,58.00,34.00,46.00,29.00,17.00,44.00,58.00,34.00,46.00,29.00,17.00,46.00,43.00,29.00,57.00,
Modified Vehilce Time,begining, endinging
virtual167,165
virtual17130,290
virtual18200,386
virtual19290,428
virtual205,167
virtual21100,228
virtual22200,304
virtual2397,255
virtual2495,257
virtual25190,318
virtual26290,394
virtual27380,542
virtual28220,376
virtual29280,408
virtual300,177
virtual31107,265
virtual32230,390
virtual33300,486
virtual34390,528
virtual35105,267
virtual36200,328
virtual37300,404
virtual38197,355
virtual39320,480
virtual40195,357
virtual41290,418
virtual42480,642
virtual43320,476
virtual44380,508
virtual4593,277
virtual46207,365
virtual47400,586
virtual48490,628
virtual49205,367
virtual50300,428
virtual51400,504
virtual52297,455
virtual53490,676
virtual54580,718
virtual55295,457
virtual56390,518
virtual57490,594
virtual58580,742
virtual59420,576
virtual60480,608
virtual61193,377
Reduced Search Space Perc for Veh,Veh 1,Veh 2,Veh 3,Veh 4,Veh 5,Veh 6,Veh 7,Veh 8,Veh 9,Veh 10,Veh 11,Veh 12,Veh 13,Veh 14,Veh 15,Veh 16,Veh 17,Veh 18,Veh 19,Veh 20,Veh 21,Veh 22,Veh 23,Veh 24,Veh 25,Veh 26,Veh 27,Veh 28,Veh 29,Veh 30,Veh 31,Veh 32,Veh 33,Veh 34,Veh 35,Veh 36,Veh 37,Veh 38,Veh 39,Veh 40,Veh 41,Veh 42,Veh 43,Veh 44,Veh 45,Veh 46,Veh 47,Veh 48,Veh 49,Veh 50,Veh 51,Veh 52,Veh 53,Veh 54,Veh 55,Veh 56,Veh 57,Veh 58,Veh 59,Veh 60,Veh 61,
,1.46%,1.27%,1.07%,1.37%,1.17%,1.46%,1.27%,1.07%,1.37%,1.17%,1.46%,1.27%,1.07%,1.37%,1.17%,76.00%,28.29%,28.10%,74.15%,74.83%,41.17%,65.66%,76.00%,74.83%,41.17%,65.66%,47.02%,62.54%,82.54%,77.95%,76.00%,28.29%,28.10%,74.15%,74.83%,41.17%,65.66%,76.00%,28.29%,74.83%,41.17%,47.02%,62.54%,82.54%,75.90%,76.00%,28.10%,74.15%,74.83%,41.17%,65.66%,76.00%,28.10%,74.15%,74.83%,41.17%,65.66%,47.02%,62.54%,82.54%,75.90%,
,
Iteration,Lower Bound,Upper Bound,Gap,Relative_gap,pax 1,pax 2,pax 3,pax 4,pax 5,pax 6,pax 7,pax 8,pax 9,pax 10,pax 11,pax 12,pax 13,pax 14,pax 15,pax 16,pax 17,pax 18,pax 19,pax 20,pax 21,pax 22,pax 23,pax 24,pax 25,pax 26,pax 27,pax 28,pax 29,pax 30,pax 31,pax 32,pax 33,pax 34,pax 35,pax 36,pax 37,pax 38,pax 39,pax 40,pax 41,pax 42,pax 43,pax 44,pax 45,pax 46,# of pax not served,best_p1,best_p2,best_p3,best_p4,best_p5,best_p6,best_p7,best_p8,best_p9,best_p10,best_p11,best_p12,best_p13,best_p14,best_p15,best_p16,best_p17,best_p18,best_p19,best_p20,best_p21,best_p22,best_p23,best_p24,best_p25,best_p26,best_p27,best_p28,best_p29,best_p30,best_p31,best_p32,best_p33,best_p34,best_p35,best_p36,best_p37,best_p38,best_p39,best_p40,best_p41,best_p42,best_p43,best_p44,best_p45,best_p46,best_# of pax not served,price_p1,price_p2,price_p3,price_p4,price_p5,price_p6,price_p7,price_p8,price_p9,price_p10,price_p11,price_p12,price_p13,price_p14,price_p15,price_p16,price_p17,price_p18,price_p19,price_p20,price_p21,price_p22,price_p23,price_p24,price_p25,price_p26,price_p27,price_p28,price_p29,price_p30,price_p31,price_p32,price_p33,price_p34,price_p35,price_p36,price_p37,price_p38,price_p39,price_p40,price_p41,price_p42,price_p43,price_p44,price_p45,price_p46,total_price,
1,1093.399902,3018.066650,1924.666748,63.772%,1,17*,18*,4,2,21*,22*,4,5,25*,26*,27*,28*,29*,3,6,32*,33*,9,7,36*,37*,9,39*,10,41*,42*,43*,44*,8,11,47*,14,12,50*,51*,14,53*,54*,15,56*,57*,58*,59*,60*,13,28,1,17*,18*,4,2,21*,22*,4,5,25*,26*,27*,28*,29*,3,6,32*,33*,9,7,36*,37*,9,39*,10,41*,42*,43*,44*,8,11,47*,14,12,50*,51*,14,53*,54*,15,56*,57*,58*,59*,60*,13,28,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,460.00,
2,1456.399902,1928.483154,472.083252,24.480%,1,1,1,1,2,21*,22*,4,5,25*,26*,10,3,3,3,6,4,4,4,7,36*,37*,9,9,10,10,15,8,8,8,11,9,9,12,12,14,14,14,14,15,15,57*,58*,13,13,13,8,1,1,1,1,2,21*,22*,4,5,25*,26*,10,3,3,3,6,4,4,4,7,36*,37*,9,9,10,10,15,8,8,8,11,9,9,12,12,14,14,14,14,15,15,57*,58*,13,13,13,8,10.00,15.00,15.00,10.00,10.00,15.00,15.00,10.00,10.00,15.00,15.00,15.00,15.00,15.00,10.00,10.00,15.00,15.00,10.00,10.00,15.00,15.00,10.00,15.00,10.00,15.00,15.00,15.00,15.00,10.00,10.00,15.00,10.00,10.00,15.00,15.00,10.00,15.00,15.00,10.00,15.00,15.00,15.00,15.00,15.00,10.00,600.00,
3,1545.149780,1804.199707,259.049927,14.358%,1,1,1,1,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,48*,12,12,14,14,14,14,15,15,57*,58*,13,13,13,5,1,1,1,1,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,48*,12,12,14,14,14,14,15,15,57*,58*,13,13,13,5,10.00,15.00,15.00,10.00,10.00,18.33,18.33,10.00,10.00,18.33,18.33,11.67,15.00,15.00,10.00,10.00,11.67,11.67,6.67,10.00,18.33,18.33,10.00,11.67,10.00,15.00,15.00,15.00,15.00,10.00,10.00,11.67,6.67,10.00,15.00,15.00,10.00,15.00,15.00,10.00,15.00,18.33,18.33,15.00,15.00,10.00,603.33,
4,1564.199829,1804.199707,239.999878,13.302%,1,1,1,19*,2,2,2,4,5,5,7,12,3,3,3,6,6,6,9,7,7,37*,9,11,10,41*,42*,8,8,8,11,11,48*,12,12,14,14,14,14,15,15,15,15,13,13,13,5,1,1,1,1,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,48*,12,12,14,14,14,14,15,15,57*,58*,13,13,13,5,10.00,15.00,15.00,7.50,10.00,18.33,20.83,10.00,10.00,18.33,18.33,9.17,15.00,15.00,10.00,10.00,11.67,11.67,9.17,10.00,18.33,18.33,10.00,11.67,10.00,15.00,15.00,15.00,15.00,10.00,10.00,11.67,9.17,10.00,15.00,15.00,10.00,15.00,15.00,10.00,15.00,20.83,20.83,15.00,15.00,10.00,610.83,
5,1573.483154,1744.199707,170.716553,9.788%,1,1,1,4,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,11,12,12,14,14,14,14,15,15,57*,58*,13,13,13,4,1,1,1,4,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,11,12,12,14,14,14,14,15,15,57*,58*,13,13,13,4,10.00,15.00,15.00,9.50,10.00,18.33,18.83,10.00,10.00,18.33,18.33,9.17,15.00,15.00,10.00,10.00,11.67,11.67,9.17,10.00,18.33,20.33,10.00,11.67,10.00,17.00,17.00,15.00,15.00,10.00,10.00,11.67,11.17,10.00,15.00,15.00,10.00,15.00,15.00,10.00,15.00,20.83,20.83,15.00,15.00,10.00,618.83,
6,1578.033203,1744.199707,166.166504,9.527%,1,1,1,19*,2,2,2,4,5,5,7,12,3,3,3,6,6,6,6,7,7,37*,9,11,10,10,42*,8,8,8,11,11,11,12,12,14,14,14,14,15,15,15,15,13,13,13,3,1,1,1,4,2,2,22*,4,5,5,7,10,3,3,3,6,6,6,34*,7,7,9,9,11,10,10,15,8,8,8,11,11,11,12,12,14,14,14,14,15,15,57*,58*,13,13,13,4,10.00,15.00,15.00,9.50,10.00,18.33,20.50,10.00,10.00,18.33,18.33,7.50,15.00,15.00,10.00,10.00,11.67,11.67,10.83,10.00,18.33,20.33,10.00,11.67,10.00,17.00,17.00,15.00,15.00,10.00,10.00,11.67,11.17,10.00,15.00,15.00,10.00,15.00,15.00,10.00,15.00,22.50,22.50,15.00,15.00,10.00,623.83,
