iteration_no,agent_id,agent_type,virtual_vehicle,path_node_sequence,path_time_sequence,path_state_sequence,
0,p,p,pax,888;666,17;27
0,p1,p,pax,635;540,140;150
0,p2,p,pax,439;217,210;220
0,p3,p,pax,754;418,300;310
0,p4,p,pax,416;152,15;25
0,p5,p,pax,704;636,110;120
0,p6,p,pax,25;575,210;220
0,p7,p,pax,580;534,300;310
0,p8,p,pax,888;666,107;117
0,p9,p,pax,635;540,230;240
0,p10,p,pax,439;217,300;310
0,p11,p,pax,754;418,390;400
0,p12,p,pax,416;152,105;115
0,p13,p,pax,704;636,200;210
0,p14,p,pax,25;575,300;310
0,p15,p,pax,580;534,390;400
0,p16,p,pax,257;243,230;240
0,p17,p,pax,243;918,290;300
0,p18,p,pax,883;871,3;13
0,p19,p,pax,721;391,25;35
20,v1,v,physical,894;888;888;860;852;850;668;666;666;667;662;654;653;641;640;635;635;504;503;633;629;484;627;623;622;540;540;438;439;439;440;441;426;425;424;423;422;762;763;217;217;763;754;754;752;420;419;418;418;922;,2;16;28;43;54;61;68;75;105;112;119;126;128;130;132;139;141;143;144;151;158;162;166;173;181;186;200;204;209;211;217;223;234;238;245;252;259;260;267;269;290;292;299;301;308;310;322;335;337;401;,
20,v2,v,physical,417;416;416;415;733;737;736;698;152;152;698;697;702;701;474;706;704;704;703;478;633;632;636;636;501;571;25;25;571;572;573;528;575;575;580;580;582;541;526;527;543;534;534;,1;14;22;37;41;52;59;66;68;71;73;80;87;94;96;102;109;120;127;161;166;173;180;201;204;207;209;252;254;261;267;273;276;290;299;301;310;317;318;331;340;347;401;,
20,v3,v,physical,883;883;880;877;461;874;871;871;868;865;733;415;727;721;715;391;709;803;257;257;803;795;787;789;243;243;243;789;783;918;918;917;,2;4;18;32;41;47;61;112;127;142;156;160;170;184;198;209;212;227;229;231;233;247;261;272;274;289;291;293;304;320;322;401;,
20,v4,v,physical,894;888;888;860;852;850;668;666;666;667;662;654;653;641;640;635;635;504;503;633;629;484;627;623;622;540;540;438;439;439;440;441;426;425;424;423;422;762;763;217;217;763;754;754;752;420;419;418;418;922;,92;106;117;132;143;150;157;164;195;202;209;216;218;220;222;229;231;233;234;241;248;252;256;263;271;276;290;294;299;301;307;313;324;328;335;342;349;350;357;359;380;382;389;391;398;400;412;425;427;501;,
20,v5,v,physical,417;416;416;415;733;737;736;698;152;152;698;697;702;701;474;706;704;704;703;478;633;632;636;636;501;571;25;25;571;572;573;528;575;575;580;580;582;541;526;527;543;534;534;,91;104;111;126;130;141;148;155;157;161;163;170;177;184;186;192;199;256;263;266;271;278;285;291;294;297;299;336;338;345;351;357;360;380;389;391;400;407;408;421;430;437;501;,
20,vvirtual6,v,virtual,888;,171;,
20,vvirtual7,v,virtual,635;,290;,
20,vvirtual8,v,virtual,439;,386;,
20,vvirtual9,v,virtual,754;,428;,
20,vvirtual10,v,virtual,416;,167;,
20,vvirtual11,v,virtual,704;,228;,
20,vvirtual12,v,virtual,25;,318;,
20,vvirtual13,v,virtual,580;,452;,
20,vvirtual14,v,virtual,888;,261;,
20,vvirtual15,v,virtual,635;,380;,
20,vvirtual16,v,virtual,439;,476;,
20,vvirtual17,v,virtual,754;,518;,
20,vvirtual18,v,virtual,416;,257;,
20,vvirtual19,v,virtual,704;,318;,
20,vvirtual20,v,virtual,25;,408;,
20,vvirtual21,v,virtual,580;,542;,
20,vvirtual22,v,virtual,257;,376;,
20,vvirtual23,v,virtual,243;,408;,
20,vvirtual24,v,virtual,883;,177;,
20,vvirtual25,v,virtual,721;721;715;391;391;715;721;,24;26;40;51;110;121;135;,
