iteration_no,agent_id,agent_type,virtual_vehicle,path_node_sequence,path_time_sequence,path_state_sequence,
0,p,p,pax,888;666,17;27
0,p1,p,pax,635;540,140;150
0,p2,p,pax,439;217,210;220
0,p3,p,pax,754;418,300;310
0,p4,p,pax,416;152,15;25
0,p5,p,pax,704;636,110;120
0,p6,p,pax,25;575,210;220
0,p7,p,pax,580;534,300;310
0,p8,p,pax,257;243,140;150
0,p9,p,pax,243;918,200;210
0,p10,p,pax,373;370,280;290
20,v1,v,physical,894;888;888;860;852;850;668;666;666;667;662;654;653;641;640;635;635;504;503;633;629;484;627;623;622;540;540;438;439;439;440;441;426;425;424;423;422;762;763;217;217;763;754;754;752;420;419;418;418;922;,2;16;28;43;54;61;68;75;105;112;119;126;128;130;132;139;141;143;144;151;158;162;166;173;181;186;200;204;209;211;217;223;234;238;245;252;259;260;267;269;290;292;299;301;308;310;322;335;337;401;,
20,v2,v,physical,417;416;416;415;733;737;736;698;152;152;698;697;702;701;474;706;704;704;703;478;633;632;636;636;501;571;25;25;571;572;573;528;575;575;580;580;582;541;526;527;543;534;534;,1;14;22;37;41;52;59;66;68;71;73;80;87;94;96;102;109;120;127;161;166;173;180;201;204;207;209;250;252;259;265;271;274;290;299;301;310;317;318;331;340;347;401;,
20,v3,v,physical,874;871;868;865;733;415;727;721;715;391;709;803;257;257;803;795;787;789;243;243;243;789;783;918;918;919;373;373;919;918;917;916;370;370;916;917;,8;22;37;52;66;70;80;94;108;119;122;137;139;141;143;157;171;182;184;199;201;203;214;230;263;277;279;281;283;297;367;381;383;385;387;401;,
20,vvirtual4,v,virtual,888;,171;,
20,vvirtual5,v,virtual,635;,290;,
20,vvirtual6,v,virtual,439;,386;,
20,vvirtual7,v,virtual,754;,428;,
20,vvirtual8,v,virtual,416;,167;,
20,vvirtual9,v,virtual,704;,228;,
20,vvirtual10,v,virtual,25;,318;,
20,vvirtual11,v,virtual,580;,452;,
20,vvirtual12,v,virtual,257;,286;,
20,vvirtual13,v,virtual,243;,318;,
20,vvirtual14,v,virtual,373;,434;,
